Table 1. Studies Comparing People with Schizophrenia and Controls,,,,,,,,,,
Title,Authors (Year),Paradigm,Primary Dep. Variable,Population,N (N female),Minimum Acuity Threshold,Target Stimulus Location (Foveal or Peripheral),Finding,Data used for computing effect size,Effect Size (Hedges' G)
,,,,CON,17 (5),,,Signed Errors: SCZ = CON,"F(1,30) = 0.67",-0.283
Contrast Discrimination: Orientation-Independent ,,,,,,,,,,
Weak suppression of visual context in chronic schizophrenia,Dakin et al. (2005),Contrast-Contrast Illusion,Behavior,SCZ,15 (not specified),not specified,Foveal,SCZ < CON,t(46) = –6.12,1.875
,,,,CON (psychiatric + non-psychiatric),33 (not specified),,,,,
The clinical translation of a measure of gain control: The Contrast-Contrast Effect Task,Barch et al. (2012),Contrast-Contrast Illusion,Behavior,SCZ,132 (60),not specified,Foveal,SCZ < CON (but insignificant when excluding individuals who performed poorly on catch trials),"F(1,260) = 7.27 ",0.332
,,,,CON,130 (48),,,,,
Temporal stability and moderating effects of age and sex on CNTRaCS task performance,Strauss et al. (2014),Contrast-Contrast Illusion,Behavior,SCZ,98 (43),not specified,Foveal,SCZ = CON,d = .13,0.13
,,,,CON,131 (64),,,,,
Contrast Discrimination: Orientation-Dependent ,,,,,,,,,,
Reduced facilitation effect of collinear flankers on contrast detection reveals impaired lateral connectivity in the visual cortex of schizophrenia patients,Must et al. (2004),Collinear Flankers,Behavior,SCZ,20 (8),20/20,Foveal,Main effect of group: NA (does not control for baseline contrast sensitivty),NA,NA
,,,,CON,15 (4),,,Group by orientation: SCZ < CON,"F(1,33) = 13.95",1.247
Attentional modulation of perceptual organisation in schizophrenia,Keri et al. (2009),Collinear Flankers,Behavior,SCZ,43 (15),not specified,Foveal,Main effect of group: NA (does not control for baseline contrast sensitivty),NA,NA
,,,,CON,25 (6),,,Group by orientation: SCZ < CON,"F(1, 66)= 47.49",1.713
Diminished orientation-specific surround suppression of visual processing in schizophrenia,Yoon et al. (2009),Orientation-Dependent Contrast Illusion,Behavior,SCZ,17 (5),not specified,Peripheral (spanned 4.5-7.8°),Main effect of group: SCZ = CON,"F(1,35 =0.37)",0.196
,,,,CON,20 (8),,,Group by orientation: SCZ <CON,"F(1,35) = 8.93",0.965
Altered contextual modulation of primary visual cortex responses in schizophrenia,Seymour et al. (2013),Orientation-Dependent Contrast Illusion,BOLD,SCZ,18 (8),20/20,Peripheral: (spanned 1.8-4.01°),Main effect of group: SCZ = CON,V1: F < 1* (*F value imputed by randomly selecting number between 0 and 1),-0.223
,,,,,,,,,V2: F < 1*  ,-0.165
,,,,,,,,,V3: F < 1*  ,0.124
,,,,CON,18 (8),,,Group by orientation : SCZ < CON,"V1: F(1, 34) = 4.87",0.719
,,,,,,,,,"V2: F(1, 34) = 4.70",0.707
,,,,,,,,,"V3: F(1, 34)= 6.11",0.806
Reduced visual surround suppression in schizophrenia shown by measuring contrast detection thresholds,Serrano-Pedraza et al. (2014),Orientation Dependent Contrast Illusion,Behavior,SCZ,21 (2),20/20,Peripheral: (centered at 5°) ,Main effect of group: SCZ < CON,"F(1,43) = 22.69",1.398
,,,,CON,24 (14),,,Group by orientation: SCZ < CON,"F(1,43) = 13.25",1.069
Multiple forms of contour grouping deficits in schizophrenia: What is the role of spatial frequency?,Keane et al. (2014),Orientation Dependent Contrast Illusion,Behavior,SCZ,24 (10),Matched Groups,Foveal,Main effect of group: NA,"NA (main effect F(1,45)=7.52  is reported but the main effect does not control for baseline contrast sensitivity) ",NA
,,,,CON,24 (13),,,Group by orientation : SCZ = CON,"F(1,45)=0.253",0.143
Reduced contextual effects on visual contrast perception in schizophrenia and bipolar affective disorder,Schallmo et al. (2015),"Orientation, Phase and Distance Dependent Contrast Illusion",Behavior,SCZ,23 (5),20/20,Peripheral (centered at 2°),Main effect of group: SCZ < CON,Cohen’s d = 0.42,0.415
,,,,CON,38 (15),,,Group by orientation: NA,Not extractable for SCZ and HC only (could try reaching out to authors),NA
Weakened untuned gain control is associated with schizophrenia while atypical orientation-tuned suppression depends on visual acuity,Pokorny et al. (2023),Orientation Dependent Contrast Illusion,Behavior,SCZ,31 (10),20/50,Peripheral (centered at 3°),Main effect of group: SCZ < CON,Cohen’s d = .87,0.862
,,,,CON,29 (15),,,Group by orientation (0° and 90° only): SCZ = CON,"F(1,58) = 4.20",0.523
Contrast Discrimination: Distance-Dependent ,,,,,,,,,,
Lateral interactions in the visual cortex of patients with schizophrenia and bipolar disorder,Keri et al. (2005),Distance-Dependent Flankers,Behavior,SCZ,24 (9),20/20,Foveal,Main effect of group: SCZ < CON,2λ condition: Cohen's d = 1.29,1.267
,,,,,,,,,3λ condition: Cohen's d = 1.41,1.385
,,,,,,,,,4λ condition: Cohen's d = 1.42,1.394
,,,,,,,,,6λ condition: Cohen's d = 1.25,1.228
,,,,CON,20 (8),,,,9λ condition: Cohen's d = .78,0.766
,,,,,,,,,12λ condition: Cohen's d = .45,0.442
Motion Discrimination,,,,,,,,,,
Weakened center-surround interactions in visual motion processing in schizophrenia,Tadin et al. (2006),Drifting Grating as a Function of Size,Behavior,SCZ,16 (4),not specified,Foveal,SCZ = CON,NA (F statistic of interest is not reported),NA
,,,,CON,14 (6) ,,,,,
Altered center-surround motion inhibition in schizophrenia,Chen et al. (2008),Center-Surround Random Dot Patterns,Behavior,SCZ,24 (11),not specified,Foveal,SCZ > CON,"F(1,55) = 28.67",-1.495
,,,,CON,33 (16),,,,,
Contour Discrimination,,,,,,,,,,
Abnormal contextual modulation of visual contour detection in patients with schizophrenia,Schallmo et al. (2013),Collinear Gabor Contour Task,Behavior,SCZ,25 (4),20/20,Peripheral (centered at 1.6°),Parallel Modulation: SCZ < CON,Cohen's d = .68,0.67
,,,,CON,28 (14),,,Orthogonal Modulation: SCZ = CON,Cohen's d = -.47,-0.463
Reduced influence of perceptual context in schizophrenia: Behavioral and neurophysiological evidence,Pokorny et al. (2021),Collinear Gabor Contour Task,Behavior & EEG,SCZ,27 (4),20/40,Peripheral (centered at 1.6°),Behavior: SCZ < CON,"f(1,62) = 6.02",0.613
,,,,,,,,EEG P2: SCZ = CON,"f(1,62) = .56",0.186
,,,,CON,37 (13),,,EEG P3: SCZ = CON,"f(1,62) = 2.60",0.403
Lightness Discrimination,,,,,,,,,,
No evidence for abnormal priors in early vision in schizophrenia,Kaliuzhna et al. (2019),Lightness Illusion (note: authors report two other illusions that do not manipulate visuospatial context),Behavior,SCZ,19 (9),20/20,Foveal,Experiment 1a: SCZ = CON,Cohen's d = 0.22,0.216
,,,,,,,,Experiment 1b: SCZ = CON,"F(1,38) = 0.13",0.112
,,,,CON,21 (10),,,Experiment 1c: SCZ = CON,"F(1,37) = 0.04",0.062
Spatial Offset Discrimination,,,,,,,,,,
"Crowding, grouping, and gain control in schizophrenia",Roinishvili et al. (2015),Vernier Offset Discrimination,Behavior,SCZ,16 (3),20/25,Foveal,SCZ = CON,"F(1,29)=0.02",0.05
,,,,CON,15 (2),,,,,
Multi-Paradigm Studies,,,,,,,,,,
Gestalt perception and local-global processing in high-functioning autism,Bolte et al. (2007),"Ebbinghaus
Ponzo
Muller-Lyer
Poggendorf
Hering",Behavior,SCZ,15 (0),not specified,Foveal,SCZ < CON,"SCZ: 11.7 (2.8)
CON: 8.4 (2.2)",1.275
,,,,CON,15 (0),,,,,
Seeing the world dimly: The impact of early visual deficits on visual experience in schizophrenia,Kantrowitz et al. (2009),"Mueller-Lyer
Ponzo
Sanders' Parallelogram
Poggendorf",Behavior,SCZ,38* (5) *only 18 of 38 completed Sanders' and Ponzo,20/30,Foveal,Mueller-Lyer: SCZ > CON,"F(1,64) = 10.9",-0.813
,,,,,,,,Poggendorff: SCZ = CON,"F(1,64) = 0.21",0.113
,,,,CON,28* (12) *only 12 of 28 completed Sanders' and Ponzo,,,Sander: SCZ = CON,"F(1,28) = 0.35",-0.215
,,,,,,,,Ponzo: SCZ < CON,"F(1,28) = 5.2",0.827
Visual context processing in bipolar disorder: A comparison with schizophrenia,Yang et al. (2013),"Lightness Illusion
Contrast-Contrast
Motion Repulsion
Tilt Illusion
Ebbinghaus",Behavior,SCZ,30 (19),20/30,Foveal,Contrast: SCZ < CON,Cohen's d = 0.64,0.63
,,,,,,,,Lightness: SCZ = CON,Cohen's d = 0.31,0.305
,,,,,,,,Motion: SCZ = CON,Cohen's d = -0.11,-0.108
,,,,CON,23 (12),,,Orientation: SCZ = CON,Cohen's d = -0.43 ,-0.423
,,,,,,,,Size: SCZ = CON,Cohen's d = -0.11,-0.108
Visual surround suppression in schizophrenia,Tibber et al. (2013),"Lightness Illusion
Contrast-Contrast
Tilt Illusion
Ebbinghaus",Behavior,SCZ,24 (8),not specified,Foveal,Contrast: SCZ < CON,Cohen's d = 0.68,0.669
,,,,,,,,Lightness: SCZ = CON,Cohen's d = -0.2,-0.197
,,,,CON,24 (8),,,Orientation: SCZ = CON,Cohen's d = .39,0.384
,,,,,,,,Size: SCZ < CON,Cohen's d = .52,0.512
Reduced Crowding and Poor Contour Detection in Schizophrenia Are Consistent with Weak Surround Inhibition,Robol et al. (2013),"Collinear Gabor Contour Task
Orientation Crowding Task",Behavior,SCZ,18 (6),not specified,Peripheral (average contour target and orientation targets centered at 3.2°),Contour: SCZ = CON,"F(1,34) = 1.08",0.346
,,,,CON,18 (6),,,Orientation: SCZ < CON ,"F(1,24 = 9.16)",1.187
Is the perception of illusions abnormal in schizophrenia?,Grzeczkowski et al. (2018),"Experiment 1:
Ebbinghaus
Mueller-Lyer 
Ponzo
Hallway Illusion
Contrast-Contrast
White's (Lightness) Illusion
Tilt Illusion",Behavior,SCZ,19 (5),20/25,Foveal,Ebbinghaus: SCZ=CON,Cohen's d = 0.02,0.02
,,,,,,,,Mueller-Lyer: SCZ=CON,Cohen's d = -0.27,-0.264
,,,,,,,,Ponzo: SCZ=CON,Cohen's d = 0.16,0.157
,,,,,,,,Ponzo-Hallway: SCZ=CON,Cohen's d = 0.11,0.108
,,,,CON,19 (5),,,Orientation: SCZ=CON,Cohen's d = 0.19,0.186
,,,,,,,,Lightness (Sim. Contrast*): SCZ=CON,Cohen's d = 0.32,0.313
,,,,,,,,Lightness (White's): SCZ=CON,Cohen's d = -0.4,-0.392
,,"Experiment 2:
Ebbinghaus (EB, EBs, EBb)
Mueller-Lyer (ML)
Ponzo (PZ)
Hallway Illusion (PZh)
Contrast-Contrast
White's (Lightness) Illusion
Tilt Illusion",Behavior,SCZ,59 (14),20/25,Foveal,Ebbinghaus: SCZ=CON,Cohen's d = -.13,-0.129
,,,,,,,,Ebbinghaus-Small: SCZ=CON,Cohen's d = -.06,-0.06
,,,,,,,,Ebbinghaus-Big: SCZ=CON,Cohen's d = .16,0.159
,,,,,,,,Mueller-Lyer: SCZ=CON,Cohen's d = -.21,-0.208
,,,,,,,,Ponzo: SCZ=CON,Cohen's d = .18,0.179
,,,,CON,54 (26),,,Ponzo-Wide: SCZ=CON,Cohen's d = .12,0.119
,,,,,,,,Ponzo-Grid: SCZ=CON,Cohen's d = 0,0
,,,,,,,,Lightness (Sim. Contrast*): SCZ < CON,Cohen's d = .43,0.427
,,,,,,,,Lightness (White's Illusion): SCZ=CON,Cohen's d = .07,0.07
,,,,,,,,Orientation: SCZ = CON,Cohen's d = -0.08,-0.079
"Effect sizes are coded such that positive effect sizes denote less sensitivity to context in SCZ and negative values denote more sensitivity to context in SCZ. Target stimulus location was coded as foveal if the participants were alllowed to freely view the stimuli and coded as peripheral if participants fixated away from the target stimuli.  λ = wavelength. *though this illusion is nominally a ""contrast"" contrast, the participants were asked to evaluate the lightness of the target, not the contrast, such that we have categorized it as a lightness illusion. ",,,,,,,,,,
