"","Study","Paradigm","Effect Size","Standard Error"
"48","Pokorny et al. (2021)","Contour","0.403","0.256"
"49","Kaliuzhna et al. (2019)","Lightness","0.216","0.11"
"50","Kaliuzhna et al. (2019)","Lightness","0.112","0.317"
"51","Kaliuzhna et al. (2019)","Lightness","0.062","0.317"
"52","Roinishvili et al. (2015)","Spatial Offset","0.05","0.359"
"53","Bolte et al. (2007)","Size","1.275","0.402"
"54","Kantrowitz et al. (2009)","Size","-0.813","0.259"
"55","Kantrowitz et al. (2009)","Size","0.113","0.249"
"56","Kantrowitz et al. (2009)","Size","-0.215","0.374"
"57","Kantrowitz et al. (2009)","Size","0.827","0.388"
"58","Yang et al. (2013)","Size","-0.108","0.279"
"59","Yang et al. (2013)","Motion","-0.108","0.294"
"60","Yang et al. (2013)","Orientation","-0.423","0.287"
"61","Yang et al. (2013)","Contrast: Orientation Independent","0.63","0.291"
"62","Yang et al. (2013)","Lightness","0.305","0.283"
"63","Tibber et al. (2013)","Lightness","-0.197","0.28"
"64","Tibber et al. (2013)","Contrast: Orientation Independent","0.669","0.301"
"65","Tibber et al. (2013)","Orientation","0.384","0.286"
"66","Tibber et al. (2013)","Size","0.512","0.288"
"67","Robol et al. (2013)","Contour","0.346","0.336"
"68","Robol et al. (2013)","Orientation","1.187","0.425"
"69","Grzeczkowski et al. (2018) - Sample 1","Size","0.02","0.324"
"70","Grzeczkowski et al. (2018) - Sample 1","Size","-0.264","0.326"
"71","Grzeczkowski et al. (2018) - Sample 1","Size","0.157","0.325"
"72","Grzeczkowski et al. (2018) - Sample 1","Lightness","0.313","0.326"
"73","Grzeczkowski et al. (2018) - Sample 1","Size","0.108","0.325"
"74","Grzeczkowski et al. (2018) - Sample 1","Lightness","-0.392","0.328"
"75","Grzeczkowski et al. (2018) - Sample 1","Orientation","0.186","0.325"
"76","Grzeczkowski et al. (2018) - Sample 2","Size","-0.129","0.193"
"77","Grzeczkowski et al. (2018) - Sample 2","Size","-0.06","0.204"
"78","Grzeczkowski et al. (2018) - Sample 2","Size","0.159","0.198"
"79","Grzeczkowski et al. (2018) - Sample 2","Size","0.179","0.195"
"80","Grzeczkowski et al. (2018) - Sample 2","Size","0.119","0.206"
"81","Grzeczkowski et al. (2018) - Sample 2","Size","0","0.196"
"82","Grzeczkowski et al. (2018) - Sample 2","Size","-0.208","0.199"
"83","Grzeczkowski et al. (2018) - Sample 2","Lightness","0.427","0.202"
"84","Grzeczkowski et al. (2018) - Sample 2","Lightness","0.07","0.193"
"85","Grzeczkowski et al. (2018) - Sample 2","Orientation","-0.079","0.194"
